시점,월별,시도별,사고건수,사망자수,부상자수
2006,6월,대전,463,11,729
2006,6월,울산,373,5,594
2006,6월,경기,3375,94,5467
2006,6월,강원,657,24,1114
2006,6월,충북,639,22,1015
2006,6월,충남,649,37,1094
2006,6월,전북,756,35,1189
2006,6월,전남,851,40,1377
2006,6월,경북,1365,58,2087
2006,6월,경남,1034,30,1582
2006,6월,제주,231,5,340
2006,7월,서울,3359,45,5018
2006,7월,부산,1116,19,1758
2006,7월,대구,1089,16,1628
2006,7월,인천,1015,24,1536
2006,7월,광주,697,7,1083
2006,7월,대전,507,10,805
2006,7월,울산,404,18,632
2006,7월,경기,3935,103,6504
2006,7월,강원,721,27,1337
2006,7월,충북,687,22,1149
2006,7월,충남,715,46,1297
2006,7월,전북,744,34,1245
2006,7월,전남,891,40,1550
2006,7월,경북,1357,56,2223
2006,7월,경남,1109,38,1760
2006,7월,제주,288,11,453
2006,8월,서울,3505,43,5163
2006,8월,부산,1137,21,1743
2006,8월,대구,1047,16,1636
2006,8월,인천,918,10,1490
2006,8월,광주,622,12,1040
2006,8월,대전,445,7,715
2006,8월,울산,386,12,632
2006,8월,경기,3605,103,6168
2006,8월,강원,911,31,1765
2006,8월,충북,686,42,1164
2006,8월,충남,736,42,1283
2006,8월,전북,833,43,1381
2006,8월,전남,1008,48,1888
2006,8월,경북,1499,90,2411
2006,8월,경남,1185,55,1950
2006,8월,제주,271,10,453
2006,9월,서울,3524,47,5086
2006,9월,부산,1113,21,1642
2006,9월,대구,1163,26,1717
2006,9월,인천,898,14,1423
2006,9월,광주,751,18,1187
2006,9월,대전,494,8,794
2006,9월,울산,431,8,675
2006,9월,경기,3862,122,6388
2006,9월,강원,807,31,1457
2006,9월,충북,754,33,1186
2006,9월,충남,788,61,1274
2006,9월,전북,790,45,1246
2006,9월,전남,975,47,1624
2006,9월,경북,1450,53,2256
2006,9월,경남,1219,38,1848
2006,9월,제주,274,8,383
2006,10월,서울,3273,42,4964
2006,10월,부산,1136,17,1743
2006,10월,대구,1166,24,1700
2006,10월,인천,860,22,1346
2006,10월,광주,691,15,1128
2006,10월,대전,458,9,782
2006,10월,울산,361,14,548
2006,10월,경기,3676,126,6376
2006,10월,강원,830,36,1411
2006,10월,충북,725,31,1188
2006,10월,충남,835,61,1412
2006,10월,전북,918,45,1477
2006,10월,전남,1077,63,1821
2006,10월,경북,1603,70,2555
2006,10월,경남,1212,60,1848
2006,10월,제주,279,16,416
2006,11월,서울,3467,53,4978
2006,11월,부산,1040,30,1467
2006,11월,대구,1232,23,1885
2006,11월,인천,966,23,1494
2006,11월,광주,790,19,1285
2006,11월,대전,480,8,732
2006,11월,울산,407,10,635
2006,11월,경기,3991,127,6707
2006,11월,강원,798,33,1369
2006,11월,충북,725,37,1187
2006,11월,충남,834,83,1358
2006,11월,전북,968,56,1558
2006,11월,전남,977,51,1688
2006,11월,경북,1660,83,2571
2006,11월,경남,1221,52,1874
2006,11월,제주,321,13,482
2006,12월,서울,3068,37,4527
2006,12월,부산,973,17,1432
2006,12월,대구,1092,20,1657
2006,12월,인천,892,13,1363
2006,12월,광주,744,11,1316
2006,12월,대전,475,14,773
2006,12월,울산,371,15,575
