시점,월별,요일별,도로종류별,사고건수,사망자수,부상자수
2005,4월,목,군도,78,3,106
2005,4월,목,고속국도,37,0,86
2005,4월,목,기타/불명,124,1,156
2005,4월,금,일반국도,518,37,834
2005,4월,금,지방도,232,10,370
2005,4월,금,특별광역시도,1090,12,1658
2005,4월,금,시도,776,16,1094
2005,4월,금,군도,116,14,138
2005,4월,금,고속국도,55,7,93
2005,4월,금,기타/불명,209,1,271
2005,4월,토,일반국도,595,25,1145
2005,4월,토,지방도,217,10,372
2005,4월,토,특별광역시도,1249,15,1920
2005,4월,토,시도,955,18,1578
2005,4월,토,군도,129,6,183
2005,4월,토,고속국도,71,5,245
2005,4월,토,기타/불명,192,2,274
2005,5월,일,일반국도,551,33,1119
2005,5월,일,지방도,190,10,352
2005,5월,일,특별광역시도,993,17,1632
2005,5월,일,시도,759,17,1279
2005,5월,일,군도,138,8,234
2005,5월,일,고속국도,51,4,133
2005,5월,일,기타/불명,144,2,219
2005,5월,월,일반국도,496,33,791
2005,5월,월,지방도,218,14,348
2005,5월,월,특별광역시도,995,16,1446
2005,5월,월,시도,794,9,1166
2005,5월,월,군도,160,7,264
2005,5월,월,고속국도,45,2,96
2005,5월,월,기타/불명,187,0,236
2005,5월,화,일반국도,502,31,782
2005,5월,화,지방도,208,13,315
2005,5월,화,특별광역시도,1154,20,1692
2005,5월,화,시도,822,17,1196
2005,5월,화,군도,128,6,151
2005,5월,화,고속국도,45,3,112
2005,5월,화,기타/불명,182,3,240
2005,5월,수,일반국도,433,24,746
2005,5월,수,지방도,148,7,210
2005,5월,수,특별광역시도,1031,12,1494
2005,5월,수,시도,653,7,933
2005,5월,수,군도,105,4,148
2005,5월,수,고속국도,37,6,74
2005,5월,수,기타/불명,177,2,237
2005,5월,목,일반국도,400,33,699
2005,5월,목,지방도,178,11,310
2005,5월,목,특별광역시도,933,8,1415
2005,5월,목,시도,692,20,1017
2005,5월,목,군도,101,9,140
2005,5월,목,고속국도,42,3,95
2005,5월,목,기타/불명,138,4,193
2005,5월,금,일반국도,438,27,733
2005,5월,금,지방도,167,12,256
2005,5월,금,특별광역시도,1001,18,1415
2005,5월,금,시도,734,14,1096
2005,5월,금,군도,107,4,172
2005,5월,금,고속국도,40,5,105
2005,5월,금,기타/불명,145,3,191
2005,5월,토,일반국도,473,23,934
2005,5월,토,지방도,203,10,335
2005,5월,토,특별광역시도,911,17,1417
2005,5월,토,시도,688,15,1049
2005,5월,토,군도,122,3,186
2005,5월,토,고속국도,72,4,205
2005,5월,토,기타/불명,154,1,200
2005,6월,일,일반국도,468,25,1017
2005,6월,일,지방도,153,11,273
2005,6월,일,특별광역시도,787,18,1266
2005,6월,일,시도,601,8,985
2005,6월,일,군도,130,8,214
2005,6월,일,고속국도,55,4,152
2005,6월,일,기타/불명,112,2,165
2005,6월,월,일반국도,399,19,732
2005,6월,월,지방도,167,9,272
2005,6월,월,특별광역시도,815,12,1245
2005,6월,월,시도,621,7,918
2005,6월,월,군도,111,6,171
2005,6월,월,고속국도,43,2,100
2005,6월,월,기타/불명,133,3,173
2005,6월,화,일반국도,367,15,603
2005,6월,화,지방도,150,18,224
2005,6월,화,특별광역시도,905,8,1361
2005,6월,화,시도,630,11,967
2005,6월,화,군도,109,1,163
2005,6월,화,고속국도,36,0,73
2005,6월,화,기타/불명,133,1,163
2005,6월,수,일반국도,468,27,804
2005,6월,수,지방도,232,12,352
2005,6월,수,특별광역시도,1114,17,1677
2005,6월,수,시도,875,20,1301
2005,6월,수,군도,120,9,166
2005,6월,수,고속국도,57,8,155
2005,6월,수,기타/불명,181,0,257
2005,6월,목,일반국도,467,13,796
2005,6월,목,지방도,208,8,346
2005,6월,목,특별광역시도,1073,15,1531
2005,6월,목,시도,786,12,1127
2005,6월,목,군도,133,11,169
2005,6월,목,고속국도,36,4,91
2005,6월,목,기타/불명,220,0,306
2005,6월,금,일반국도,424,22,786
2005,6월,금,지방도,186,9,275
2005,6월,금,특별광역시도,967,9,1434
2005,6월,금,시도,695,15,1054
2005,6월,금,군도,102,4,143
2005,6월,금,고속국도,45,6,85
2005,6월,금,기타/불명,170,2,224
2005,6월,토,일반국도,441,21,847
2005,6월,토,지방도,197,11,309
2005,6월,토,특별광역시도,897,12,1442
2005,6월,토,시도,733,10,1107
2005,6월,토,군도,107,8,157
2005,6월,토,고속국도,67,2,180
2005,6월,토,기타/불명,166,1,236
2005,7월,일,일반국도,509,28,1104
2005,7월,일,지방도,241,9,465
2005,7월,일,특별광역시도,915,21,1536
2005,7월,일,시도,663,17,1102
2005,7월,일,군도,155,5,263
2005,7월,일,고속국도,75,7,280
2005,7월,일,기타/불명,167,2,249
2005,7월,월,일반국도,374,18,671
2005,7월,월,지방도,191,9,310
2005,7월,월,특별광역시도,875,11,1273
2005,7월,월,시도,690,20,990
2005,7월,월,군도,107,5,128
2005,7월,월,고속국도,58,4,133
2005,7월,월,기타/불명,139,1,177
2005,7월,화,일반국도,335,18,530
2005,7월,화,지방도,161,7,256
2005,7월,화,특별광역시도,885,13,1329
2005,7월,화,시도,654,20,991
2005,7월,화,군도,88,4,125
2005,7월,화,고속국도,32,4,64
2005,7월,화,기타/불명,144,2,198
2005,7월,수,일반국도,370,14,638
2005,7월,수,지방도,134,8,199
2005,7월,수,특별광역시도,847,17,1188
2005,7월,수,시도,638,8,945
2005,7월,수,군도,110,11,164
2005,7월,수,고속국도,49,5,119
2005,7월,수,기타/불명,135,1,186
2005,7월,목,일반국도,374,25,637
2005,7월,목,지방도,156,10,244
2005,7월,목,특별광역시도,959,10,1457
2005,7월,목,시도,675,16,1053
2005,7월,목,군도,86,6,105
2005,7월,목,고속국도,56,6,149
2005,7월,목,기타/불명,147,4,207
2005,7월,금,일반국도,481,22,847
2005,7월,금,지방도,205,9,369
2005,7월,금,특별광역시도,1217,14,1880
2005,7월,금,시도,913,15,1385
2005,7월,금,군도,132,5,198
2005,7월,금,고속국도,57,9,156
2005,7월,금,기타/불명,197,2,263
2005,7월,토,일반국도,530,28,997
2005,7월,토,지방도,231,11,389
2005,7월,토,특별광역시도,1199,17,1882
2005,7월,토,시도,884,12,1402
2005,7월,토,군도,147,8,196
2005,7월,토,고속국도,84,8,250
2005,7월,토,기타/불명,204,2,305
2005,8월,일,일반국도,432,23,933
2005,8월,일,지방도,163,4,311
2005,8월,일,특별광역시도,682,19,1147
2005,8월,일,시도,619,13,1055
2005,8월,일,군도,118,11,203
2005,8월,일,고속국도,55,4,188
2005,8월,일,기타/불명,126,4,200
2005,8월,월,일반국도,548,20,1089
2005,8월,월,지방도,226,10,432
2005,8월,월,특별광역시도,1028,18,1571
2005,8월,월,시도,791,18,1260
2005,8월,월,군도,135,12,218
2005,8월,월,고속국도,59,3,177
2005,8월,월,기타/불명,166,3,246
2005,8월,화,일반국도,484,21,940
2005,8월,화,지방도,208,11,373
2005,8월,화,특별광역시도,1106,32,1632
2005,8월,화,시도,827,20,1239
2005,8월,화,군도,135,8,186
2005,8월,화,고속국도,71,16,193
2005,8월,화,기타/불명,194,0,276
2005,8월,수,일반국도,574,29,1079
2005,8월,수,지방도,243,14,434
2005,8월,수,특별광역시도,1212,17,1793
2005,8월,수,시도,833,6,1264
2005,8월,수,군도,146,5,228
2005,8월,수,고속국도,49,5,166
2005,8월,수,기타/불명,171,5,255
2005,8월,목,일반국도,420,18,774
2005,8월,목,지방도,163,8,258
2005,8월,목,특별광역시도,904,22,1383
2005,8월,목,시도,627,14,998
2005,8월,목,군도,116,5,220
2005,8월,목,고속국도,57,5,151
2005,8월,목,기타/불명,147,2,200
2005,8월,금,일반국도,471,22,841
2005,8월,금,지방도,132,5,231
2005,8월,금,특별광역시도,926,12,1381
2005,8월,금,시도,681,18,970
2005,8월,금,군도,138,3,208
2005,8월,금,고속국도,50,7,102
2005,8월,금,기타/불명,185,1,253
2005,8월,토,일반국도,489,31,1015
2005,8월,토,지방도,185,6,344
2005,8월,토,특별광역시도,880,11,1341
2005,8월,토,시도,711,16,1181
2005,8월,토,군도,129,3,201
2005,8월,토,고속국도,74,2,226
2005,8월,토,기타/불명,149,0,237
2005,9월,일,일반국도,423,31,973
2005,9월,일,지방도,170,9,336
2005,9월,일,특별광역시도,703,8,1238
2005,9월,일,시도,536,9,910
2005,9월,일,군도,105,4,173
2005,9월,일,고속국도,62,6,221
2005,9월,일,기타/불명,123,4,179
2005,9월,월,일반국도,375,17,689
2005,9월,월,지방도,144,9,245
2005,9월,월,특별광역시도,835,11,1209
2005,9월,월,시도,600,13,886
2005,9월,월,군도,107,5,146
2005,9월,월,고속국도,35,2,102
2005,9월,월,기타/불명,133,7,186
2005,9월,화,일반국도,371,28,622
2005,9월,화,지방도,168,11,298
2005,9월,화,특별광역시도,998,17,1503
2005,9월,화,시도,746,16,1187
2005,9월,화,군도,112,4,148
2005,9월,화,고속국도,34,5,78
2005,9월,화,기타/불명,149,2,201
2005,9월,수,일반국도,393,17,636
2005,9월,수,지방도,169,2,263
2005,9월,수,특별광역시도,1004,15,1438
2005,9월,수,시도,755,15,1138
2005,9월,수,군도,110,8,149
2005,9월,수,고속국도,49,7,105
2005,9월,수,기타/불명,170,1,266
2005,9월,목,일반국도,463,24,781
2005,9월,목,지방도,211,12,349
2005,9월,목,특별광역시도,1128,15,1724
2005,9월,목,시도,852,12,1214
2005,9월,목,군도,138,12,171
2005,9월,목,고속국도,53,4,138
2005,9월,목,기타/불명,172,3,231
2005,9월,금,일반국도,566,31,1022
2005,9월,금,지방도,249,12,419
2005,9월,금,특별광역시도,1316,26,1939
2005,9월,금,시도,1050,30,1542
